Classifier	tp	fp	fn	ok	no	(tp+fp+fn+ok+no)	sens	prec	f1	pearson
SRR1804065_1.filtr.fq_MP.V1.res	1653239	297139	3237479	50833	262293	5500983	0.315583	0.847651	0.459931	0.999754
SRR1804065_1.filtr.fq_MP.V2.res	1655616	299865	3231310	51212	262980	5500983	0.316078	0.846654	0.460310	0.999756
SRR1804065_1.filtr.fq_MPZ.V1.res	2145057	701874	2271798	61356	320898	5500983	0.414097	0.753463	0.534459	0.999896
SRR1804065_1.filtr.fq_MPZ.V2.res	2464825	968736	1627072	69353	370997	5500983	0.480474	0.717863	0.575655	0.999859
SRR1804065_1.filtr.fq_MT.V1.res	1582985	247266	3390263	26465	254004	5500983	0.301695	0.864900	0.447346	0.999704
SRR1804065_1.filtr.fq_MT.V2.res	1566334	263926	3390357	26909	253457	5500983	0.298490	0.855799	0.442606	0.999687
SRR1804065_1.filtr.fq_MTZ.V1.res	2182268	683428	2271798	42591	320898	5500983	0.421280	0.761514	0.542463	0.999895
SRR1804065_1.filtr.fq_MTZ.V2.res	2482848	967145	1627072	52921	370997	5500983	0.483987	0.719668	0.578754	0.999855
strex_centrifuge_SRR1804065.res	1607075	342440	3249654	60875	240939	5500983	0.305525	0.824346	0.445818	0.999735
strex_centrifuge_SRR180406_SP.res	1669862	360632	3162845	62637	245007	5500983	0.317707	0.822392	0.458346	0.999777
strex_centrifuge_SRR180406_SPZ.res	2317843	937235	1811606	77825	356474	5500983	0.450547	0.712070	0.551895	0.999873
strex_centrifuge_SRR180406_ST.res	1476821	293618	3546654	37371	146519	5500983	0.275811	0.834155	0.414552	0.999610
strex_centrifuge_SRR180406_STZ.res	2337995	934851	1811606	60057	356474	5500983	0.454464	0.714361	0.555518	0.999873
strex_clark_genus_SRR1804065.res	1483084	240603	3599861	0	177435	5500983	0.278589	0.860414	0.420898	0.999617
strex_clark_genus_SRR180406_SP.res	1578753	261260	3426268	0	234702	5500983	0.299785	0.858012	0.444325	0.999689
strex_clark_genus_SRR180406_SPZ.res	2091529	506214	2613015	0	290225	5500983	0.401387	0.805133	0.535706	0.999894
strex_clark_genus_SRR180406_ST.res	1498742	220201	3556014	0	226026	5500983	0.284124	0.871897	0.428585	0.999624
strex_clark_genus_SRR180406_STZ.res	2111338	486405	2613015	0	290225	5500983	0.405188	0.812759	0.540779	0.999895
strex_clark_species_SRR1804065.res	1384173	239395	3707756	0	169659	5500983	0.259630	0.852550	0.398043	0.999474
strex_clark_species_SRR180406_SP.res	1445525	269708	3611934	0	173816	5500983	0.271350	0.842757	0.410521	0.999569
strex_clark_species_SRR180406_SPZ.res	2044589	536841	2626796	0	292757	5500983	0.392569	0.792037	0.524950	0.999880
strex_clark_species_SRR180406_ST.res	1304084	209531	3925354	0	62014	5500983	0.239767	0.861569	0.375136	0.999347
strex_clark_species_SRR180406_STZ.res	1942255	639175	2626796	0	292757	5500983	0.372921	0.752395	0.498675	0.999876
strex_k2_SRR1804065.res	1713027	356178	3126207	62779	242792	5500983	0.325783	0.827867	0.467568	0.999804
strex_k2_SRR180406_SP.res	1805336	375739	2974681	63612	281615	5500983	0.345892	0.827728	0.487899	0.999843
strex_k2_SRR180406_SPZ.res	2208000	912048	1954226	81581	345128	5500983	0.428251	0.707681	0.533597	0.999893
strex_k2_SRR180406_ST.res	1715488	298297	3178169	34997	274032	5500983	0.328201	0.851872	0.473844	0.999809
strex_k2_SRR180406_STZ.res	2251465	888192	1954226	61972	345128	5500983	0.436681	0.717105	0.542815	0.999889
strex_kraken1_SRR1804065.res	1510346	253352	3478309	44969	214007	5500983	0.285673	0.856352	0.428426	0.999644
strex_kraken1_SRR180406_SP.res	1591603	270797	3339448	45457	253678	5500983	0.303318	0.854598	0.447727	0.999701
strex_kraken1_SRR180406_SPZ.res	2098718	516367	2530518	52221	303159	5500983	0.403769	0.802543	0.537244	0.999892
strex_kraken1_SRR180406_ST.res	1531347	235535	3463513	23441	247147	5500983	0.291472	0.866695	0.436237	0.999648
strex_kraken1_SRR180406_STZ.res	2130183	502623	2530518	34500	303159	5500983	0.409822	0.809092	0.544064	0.999892
