Classifier	tp	fp	fn	ok	no	(tp+fp+fn+ok+no)	sens	prec	f1	pearson
SRR1804065_1.filtr.fq_MP.V1.res	437506	1522780	3269135	166147	105415	5500983	0.081086	0.223185	0.118955	0.929076
SRR1804065_1.filtr.fq_MP.V2.res	437599	1528918	3262589	166384	105493	5500983	0.081105	0.222525	0.118880	0.929100
SRR1804065_1.filtr.fq_MPZ.V1.res	456460	2265591	2482228	175575	121129	5500983	0.084846	0.167690	0.112680	0.929243
SRR1804065_1.filtr.fq_MPZ.V2.res	460754	2863997	1864582	188101	123549	5500983	0.085683	0.138583	0.105894	0.930039
SRR1804065_1.filtr.fq_MT.V1.res	426184	1417476	3417983	160034	79306	5500983	0.078607	0.231162	0.117320	0.919519
SRR1804065_1.filtr.fq_MT.V2.res	425689	1425264	3419147	151594	79289	5500983	0.078516	0.229984	0.117066	0.919625
SRR1804065_1.filtr.fq_MTZ.V1.res	450491	2273696	2482228	173439	121129	5500983	0.083737	0.165367	0.111177	0.924797
SRR1804065_1.filtr.fq_MTZ.V2.res	453924	2880372	1864582	178556	123549	5500983	0.084413	0.136138	0.104210	0.925611
strex_centrifuge_SRR1804065.res	435805	1564786	3249654	158039	92699	5500983	0.080581	0.217838	0.117644	0.930257
strex_centrifuge_SRR180406_SP.res	436911	1648456	3138630	170414	106572	5500983	0.080993	0.209513	0.116825	0.930482
strex_centrifuge_SRR180406_SPZ.res	439595	2686369	2067489	184870	122660	5500983	0.081735	0.140627	0.103382	0.931233
strex_centrifuge_SRR180406_ST.res	425203	1492541	3337928	165003	80308	5500983	0.078441	0.221720	0.115884	0.920322
strex_centrifuge_SRR180406_STZ.res	431538	2693494	2067489	185802	122660	5500983	0.080237	0.138091	0.101498	0.923634
strex_clark_genus_SRR1804065.res	0	335735	3599861	1483084	82303	5500983	0.000000	0.000000	0.000000	-nan
strex_clark_genus_SRR180406_SP.res	0	373891	3445979	1564687	116426	5500983	0.000000	0.000000	0.000000	-nan
strex_clark_genus_SRR180406_SPZ.res	0	753514	2831965	1797479	118025	5500983	0.000000	0.000000	0.000000	-nan
strex_clark_genus_SRR180406_ST.res	0	328491	3548172	1508703	115617	5500983	0.000000	0.000000	0.000000	-nan
strex_clark_genus_SRR180406_STZ.res	0	735265	2831965	1815728	118025	5500983	0.000000	0.000000	0.000000	-nan
strex_clark_species_SRR1804065.res	0	335735	3599861	1483084	82303	5500983	0.000000	0.000000	0.000000	-nan
strex_clark_species_SRR180406_SP.res	0	373909	3445888	1564759	116427	5500983	0.000000	0.000000	0.000000	-nan
strex_clark_species_SRR180406_SPZ.res	0	753575	2831965	1797418	118025	5500983	0.000000	0.000000	0.000000	-nan
strex_clark_species_SRR180406_ST.res	0	328536	3547877	1508948	115622	5500983	0.000000	0.000000	0.000000	-nan
strex_clark_species_SRR180406_STZ.res	0	735317	2831965	1815676	118025	5500983	0.000000	0.000000	0.000000	-nan
strex_k2_SRR1804065.res	435598	1671513	3126207	173693	93972	5500983	0.080562	0.206728	0.115941	0.931827
strex_k2_SRR180406_SP.res	436258	1765582	2993034	185502	120607	5500983	0.081083	0.198133	0.115074	0.931960
strex_k2_SRR180406_SPZ.res	452461	2545787	2178554	202165	122016	5500983	0.084117	0.150908	0.108022	0.929284
strex_k2_SRR180406_ST.res	424464	1625189	3148881	182627	119822	5500983	0.078880	0.207091	0.114244	0.919966
strex_k2_SRR180406_STZ.res	447198	2546147	2178554	207068	122016	5500983	0.083138	0.149397	0.106828	0.924576
strex_kraken1_SRR1804065.res	435673	1352782	3478309	144717	89502	5500983	0.080509	0.243603	0.121021	0.928082
strex_kraken1_SRR180406_SP.res	436406	1430764	3369567	159947	104299	5500983	0.080866	0.233726	0.120158	0.928223
strex_kraken1_SRR180406_SPZ.res	450541	2011719	2753779	165142	119802	5500983	0.083725	0.182979	0.114884	0.922864
strex_kraken1_SRR180406_ST.res	425468	1356708	3490395	149778	78634	5500983	0.078466	0.238735	0.118111	0.918851
strex_kraken1_SRR180406_STZ.res	443012	2025575	2753779	158815	119802	5500983	0.082326	0.179460	0.112873	0.915704
