Classifier	tp	fp	fn	ok	no	(tp+fp+fn+ok+no)	sens	prec	f1	pearson
all_250000_2.fq_MP.V1.res	2792367	11478	283358	37797	0	3125000	0.893557	0.995906	0.941960	0.966200
all_250000_2.fq_MP.V2.res	2824389	11519	251296	37796	0	3125000	0.903804	0.995938	0.947637	0.968651
all_250000_2.fq_MPZ.V1.res	2951826	75828	59064	38282	0	3125000	0.944584	0.974955	0.959529	0.986130
all_250000_2.fq_MPZ.V2.res	3021908	21769	42641	38682	0	3125000	0.967011	0.992848	0.979759	0.996543
all_250000_2.fq_MT.V1.res	2719167	32625	333318	39890	0	3125000	0.870133	0.988144	0.925392	0.953882
all_250000_2.fq_MT.V2.res	2788631	31977	271041	33351	0	3125000	0.892362	0.988663	0.938047	0.975271
all_250000_2.fq_MTZ.V1.res	2927239	98025	59064	40672	0	3125000	0.936716	0.967598	0.951907	0.985269
all_250000_2.fq_MTZ.V2.res	3004637	43366	42641	34356	0	3125000	0.961484	0.985772	0.973477	0.996889
strex_centrifuge_250000.res	2729742	18004	345022	32232	0	3125000	0.873517	0.993448	0.929631	0.966820
strex_centrifuge_25000_SP.res	2799176	21025	272416	32383	0	3125000	0.895736	0.992545	0.941659	0.968547
strex_centrifuge_25000_SPZ.res	2953822	87201	51140	32837	0	3125000	0.945223	0.971325	0.958096	0.987249
strex_centrifuge_25000_ST.res	2727971	35979	331376	29674	0	3125000	0.872951	0.986983	0.926471	0.955633
strex_centrifuge_25000_STZ.res	2937071	106376	51140	30413	0	3125000	0.939863	0.965048	0.952289	0.986948
strex_clark_genus_250000.res	2628976	9530	486494	0	0	3125000	0.841272	0.996388	0.912284	0.960236
strex_clark_genus_25000_SP.res	2726138	12519	386343	0	0	3125000	0.872364	0.995429	0.929842	0.964643
strex_clark_genus_25000_SPZ.res	2959327	76940	88733	0	0	3125000	0.946985	0.974660	0.960623	0.997257
strex_clark_genus_25000_ST.res	2660522	31525	432953	0	0	3125000	0.851367	0.988290	0.914733	0.963444
strex_clark_genus_25000_STZ.res	2938853	97414	88733	0	0	3125000	0.940433	0.967917	0.953977	0.997314
strex_clark_species_250000.res	2311930	12115	800955	0	0	3125000	0.739818	0.994787	0.848563	0.927148
strex_clark_species_25000_SP.res	2421264	19612	684124	0	0	3125000	0.774804	0.991965	0.870039	0.931702
strex_clark_species_25000_SPZ.res	2724017	148973	252010	0	0	3125000	0.871685	0.948147	0.908310	0.973117
strex_clark_species_25000_ST.res	2299332	31411	794257	0	0	3125000	0.735786	0.986523	0.842903	0.913625
strex_clark_species_25000_STZ.res	2709912	163078	252010	0	0	3125000	0.867172	0.943238	0.903607	0.983329
strex_kraken1_250000.res	2700772	10042	376502	37684	0	3125000	0.864247	0.996296	0.925585	0.962139
strex_kraken1_25000_SP.res	2758357	10467	318391	37785	0	3125000	0.882674	0.996220	0.936016	0.963572
strex_kraken1_25000_SPZ.res	3009052	12020	65877	38051	0	3125000	0.962897	0.996021	0.979179	0.995891
strex_kraken1_25000_ST.res	2650760	31944	402485	39811	0	3125000	0.848243	0.988093	0.912843	0.952503
strex_kraken1_25000_STZ.res	2984664	34210	65877	40249	0	3125000	0.955092	0.988668	0.971590	0.995076
strex_kraken2_250000.res	2753750	14753	317806	38691	0	3125000	0.881200	0.994671	0.934504	0.968356
strex_kraken2_25000_SP.res	2834642	15268	236287	38803	0	3125000	0.907085	0.994643	0.948848	0.970411
strex_kraken2_25000_SPZ.res	3016765	18898	50208	39129	0	3125000	0.965365	0.993775	0.979364	0.996330
strex_kraken2_25000_ST.res	2789049	34732	260370	40849	0	3125000	0.892496	0.987700	0.937688	0.964608
strex_kraken2_25000_STZ.res	2993582	39741	50208	41469	0	3125000	0.957946	0.986899	0.972207	0.995454
