Classifier	tp	fp	fn	ok	no	(tp+fp+fn+ok+no)	sens	prec	f1	pearson
all_250000_2.fq_MP.V1.res	2218477	248615	283358	374550	0	3125000	0.709913	0.899228	0.793434	0.893835
all_250000_2.fq_MP.V2.res	2250275	248841	251296	374588	0	3125000	0.720088	0.900428	0.800224	0.896322
all_250000_2.fq_MPZ.V1.res	2374141	316377	59064	375418	0	3125000	0.759725	0.882410	0.816485	0.915499
all_250000_2.fq_MPZ.V2.res	2378227	327661	42641	376471	0	3125000	0.761033	0.878908	0.815734	0.916044
all_250000_2.fq_MT.V1.res	2180550	217621	333318	393511	0	3125000	0.697776	0.909255	0.789601	0.871917
all_250000_2.fq_MT.V2.res	2255637	214245	271041	384077	0	3125000	0.721804	0.913257	0.806322	0.895190
all_250000_2.fq_MTZ.V1.res	2382780	288253	59064	394903	0	3125000	0.762490	0.892082	0.822211	0.906086
all_250000_2.fq_MTZ.V2.res	2399933	296022	42641	386404	0	3125000	0.767979	0.890198	0.824584	0.918842
strex_centrifuge_250000.res	2174170	233414	345022	372394	0	3125000	0.695734	0.903051	0.785951	0.897337
strex_centrifuge_25000_SP.res	2228751	250058	272416	373775	0	3125000	0.713200	0.899122	0.795441	0.901079
strex_centrifuge_25000_SPZ.res	2379072	319622	51140	375166	0	3125000	0.761303	0.881564	0.817032	0.921455
strex_centrifuge_25000_ST.res	2202115	205783	331376	385726	0	3125000	0.704677	0.914538	0.796008	0.878139
strex_centrifuge_25000_STZ.res	2404313	281313	51140	388234	0	3125000	0.769380	0.895252	0.827557	0.912160
strex_clark_genus_250000.res	0	9530	486494	2628976	0	3125000	0.000000	0.000000	0.000000	-nan
strex_clark_genus_25000_SP.res	0	12519	386343	2726138	0	3125000	0.000000	0.000000	0.000000	-nan
strex_clark_genus_25000_SPZ.res	0	76940	88733	2959327	0	3125000	0.000000	0.000000	0.000000	-nan
strex_clark_genus_25000_ST.res	0	31525	432953	2660522	0	3125000	0.000000	0.000000	0.000000	-nan
strex_clark_genus_25000_STZ.res	0	97414	88733	2938853	0	3125000	0.000000	0.000000	0.000000	-nan
strex_clark_species_250000.res	2117987	206058	800955	0	0	3125000	0.677756	0.911336	0.777379	0.887492
strex_clark_species_25000_SP.res	2202977	237899	684124	0	0	3125000	0.704953	0.902535	0.791601	0.892299
strex_clark_species_25000_SPZ.res	2372976	500014	252010	0	0	3125000	0.759352	0.825960	0.791257	0.917849
strex_clark_species_25000_ST.res	2118360	212383	794257	0	0	3125000	0.677875	0.908878	0.776562	0.877082
strex_clark_species_25000_STZ.res	2378955	494035	252010	0	0	3125000	0.761266	0.828042	0.793251	0.925192
strex_kraken1_250000.res	2148207	229175	376502	371116	0	3125000	0.687426	0.903602	0.780828	0.887158
strex_kraken1_25000_SP.res	2188737	244903	318391	372969	0	3125000	0.700396	0.899368	0.787508	0.888378
strex_kraken1_25000_SPZ.res	2435154	249967	65877	374002	0	3125000	0.779249	0.906907	0.838246	0.925605
strex_kraken1_25000_ST.res	2114623	215865	402485	392027	0	3125000	0.676679	0.907373	0.775228	0.868544
strex_kraken1_25000_STZ.res	2442498	223494	65877	393131	0	3125000	0.781599	0.916169	0.843551	0.916543
strex_kraken2_250000.res	2179721	252079	317806	375394	0	3125000	0.697511	0.896341	0.784524	0.894337
strex_kraken2_25000_SP.res	2247604	264510	236287	376599	0	3125000	0.719233	0.894706	0.797431	0.897896
strex_kraken2_25000_SPZ.res	2366200	331264	50208	377328	0	3125000	0.757184	0.877194	0.812783	0.915456
strex_kraken2_25000_ST.res	2243720	231208	260370	389702	0	3125000	0.717990	0.906580	0.801339	0.891813
strex_kraken2_25000_STZ.res	2380890	303194	50208	390708	0	3125000	0.761885	0.887040	0.819713	0.914685
