Classifier	tp	fp	fn	ok	no	(tp+fp+fn+ok+no)	sens	prec	f1	pearson
strex_centrifuge_250000.res	2729742	18004	345022	32232	0	3125000	0.873517	0.993448	0.929631	0.966820
strex_centrifuge_25000_SP.res	2795808	18723	278156	32313	0	3125000	0.894659	0.993348	0.941424	0.968537
strex_centrifuge_25000_SPZ.res	2947844	85072	59438	32646	0	3125000	0.943310	0.971950	0.957416	0.987198
strex_centrifuge_25000_ST.res	2724316	16550	354239	29895	0	3125000	0.871781	0.993962	0.928871	0.985473
strex_centrifuge_25000_STZ.res	2930423	104762	59438	30377	0	3125000	0.937735	0.965484	0.951407	0.996809
strex_clark_genus_250000.res	2628976	9530	486494	0	0	3125000	0.841272	0.996388	0.912284	0.960236
strex_clark_genus_25000_SP.res	2721064	10813	393123	0	0	3125000	0.870740	0.996042	0.929186	0.964553
strex_clark_genus_25000_SPZ.res	2950312	77299	97389	0	0	3125000	0.944100	0.974469	0.959044	0.996994
strex_clark_genus_25000_ST.res	2655310	11043	458647	0	0	3125000	0.849699	0.995858	0.916991	0.984008
strex_clark_genus_25000_STZ.res	2931113	96498	97389	0	0	3125000	0.937956	0.968127	0.952803	0.997026
strex_clark_species_250000.res	2311930	12115	800955	0	0	3125000	0.739818	0.994787	0.848563	0.927148
strex_clark_species_25000_SP.res	2404875	13479	706646	0	0	3125000	0.769560	0.994426	0.867661	0.931911
strex_clark_species_25000_SPZ.res	2765509	87490	272001	0	0	3125000	0.884963	0.969334	0.925229	0.981657
strex_clark_species_25000_ST.res	2280028	11472	833500	0	0	3125000	0.729609	0.994994	0.841882	0.954670
strex_clark_species_25000_STZ.res	2690433	162566	272001	0	0	3125000	0.860939	0.943019	0.900112	0.981457
strex_kraken1_250000.res	2700772	10042	376502	37684	0	3125000	0.864247	0.996296	0.925585	0.962139
strex_kraken1_25000_SP.res	2755040	10488	321717	37755	0	3125000	0.881613	0.996208	0.935414	0.963569
strex_kraken1_25000_SPZ.res	3002090	11880	73145	37885	0	3125000	0.960669	0.996058	0.978044	0.995849
strex_kraken1_25000_ST.res	2650784	30289	404135	39792	0	3125000	0.848251	0.988703	0.913107	0.983180
strex_kraken1_25000_STZ.res	2979083	32866	73145	39906	0	3125000	0.953307	0.989088	0.970868	0.995232
strex_kraken2_250000.res	2753750	14753	317806	38691	0	3125000	0.881200	0.994671	0.934504	0.968356
strex_kraken2_25000_SP.res	2831457	15391	239379	38773	0	3125000	0.906066	0.994594	0.948268	0.970405
strex_kraken2_25000_SPZ.res	3010343	18407	57230	39020	0	3125000	0.963310	0.993923	0.978377	0.996300
strex_kraken2_25000_ST.res	2787921	34318	262000	40761	0	3125000	0.892135	0.987840	0.937551	0.984679
strex_kraken2_25000_STZ.res	2987716	39077	57230	40977	0	3125000	0.956069	0.987090	0.971332	0.995660
