Classifier	tp	fp	fn	ok	no	(tp+fp+fn+ok+no)	sens	prec	f1	pearson
strex_centrifuge_250000.res	2729742	18004	345022	32232	0	3125000	0.873517	0.993448	0.929631	0.966820
strex_centrifuge_25000_SP.res	2794273	19412	278987	32328	0	3125000	0.894167	0.993101	0.941041	0.968467
strex_centrifuge_25000_SPZ.res	2942086	84419	65913	32582	0	3125000	0.941468	0.972107	0.956542	0.987045
strex_centrifuge_25000_ST.res	2733525	15262	346296	29917	0	3125000	0.874728	0.994448	0.930754	0.955640
strex_centrifuge_25000_STZ.res	2933870	94986	65913	30231	0	3125000	0.938838	0.968640	0.953506	0.986708
strex_clark_genus_250000.res	2628976	9530	486494	0	0	3125000	0.841272	0.996388	0.912284	0.960236
strex_clark_genus_25000_SP.res	2716961	12120	395919	0	0	3125000	0.869428	0.995559	0.928228	0.964231
strex_clark_genus_25000_SPZ.res	2939541	74756	110703	0	0	3125000	0.940653	0.975200	0.957615	0.996314
strex_clark_genus_25000_ST.res	2664475	22044	438481	0	0	3125000	0.852632	0.991795	0.916963	0.953493
strex_clark_genus_25000_STZ.res	2928464	85833	110703	0	0	3125000	0.937108	0.971525	0.954006	0.996376
strex_clark_species_250000.res	2311930	12115	800955	0	0	3125000	0.739818	0.994787	0.848563	0.927148
strex_clark_species_25000_SP.res	2399570	12731	712699	0	0	3125000	0.767862	0.994722	0.866693	0.930526
strex_clark_species_25000_SPZ.res	2735388	82554	307058	0	0	3125000	0.875324	0.970704	0.920550	0.977842
strex_clark_species_25000_ST.res	2294562	9914	820524	0	0	3125000	0.734260	0.995698	0.845224	0.914908
strex_clark_species_25000_STZ.res	2729067	88875	307058	0	0	3125000	0.873301	0.968461	0.918423	0.977905
strex_kraken1_250000.res	2700772	10042	376502	37684	0	3125000	0.864247	0.996296	0.925585	0.962139
strex_kraken1_25000_SP.res	2744881	10318	332070	37731	0	3125000	0.878362	0.996255	0.933601	0.963396
strex_kraken1_25000_SPZ.res	2995411	11374	80275	37940	0	3125000	0.958532	0.996217	0.977011	0.995592
strex_kraken1_25000_ST.res	2639681	22436	424390	38493	0	3125000	0.844698	0.991572	0.912261	0.942297
strex_kraken1_25000_STZ.res	2981979	23939	80275	38807	0	3125000	0.954233	0.992036	0.972768	0.995048
strex_kraken2_250000.res	2753750	14753	317806	38691	0	3125000	0.881200	0.994671	0.934504	0.968356
strex_kraken2_25000_SP.res	2829716	15172	241371	38741	0	3125000	0.905509	0.994667	0.947996	0.970353
strex_kraken2_25000_SPZ.res	3005286	17154	63585	38975	0	3125000	0.961692	0.994324	0.977736	0.996199
strex_kraken2_25000_ST.res	2797950	25858	261746	39446	0	3125000	0.895344	0.990843	0.940676	0.964898
strex_kraken2_25000_STZ.res	2993093	28636	63585	39686	0	3125000	0.957790	0.990523	0.973882	0.995638
