Classifier	tp	fp	fn	ok	no	(tp+fp+fn+ok+no)	sens	prec	f1	pearson
strex_centrifuge_250000.res	2729742	18004	345022	32232	0	3125000	0.873517	0.993448	0.929631	0.966820
strex_centrifuge_25000_SP.res	2795833	18683	278157	32327	0	3125000	0.894667	0.993362	0.941435	0.968536
strex_centrifuge_25000_ST.res	2724360	16499	354323	29818	0	3125000	0.871795	0.993980	0.928887	0.985480
strex_clark_genus_250000.res	2628976	9530	486494	0	0	3125000	0.841272	0.996388	0.912284	0.960236
strex_clark_genus_25000_SP.res	2721009	10795	393196	0	0	3125000	0.870723	0.996048	0.929179	0.964540
strex_clark_genus_25000_ST.res	2655115	11113	458772	0	0	3125000	0.849637	0.995832	0.916944	0.983976
strex_clark_species_250000.res	2311930	12115	800955	0	0	3125000	0.739818	0.994787	0.848563	0.927148
strex_clark_species_25000_SP.res	2405001	13493	706506	0	0	3125000	0.769600	0.994421	0.867684	0.931937
strex_clark_species_25000_ST.res	2280834	11587	832579	0	0	3125000	0.729867	0.994946	0.842037	0.954768
strex_kraken1_250000.res	2700772	10042	376502	37684	0	3125000	0.864247	0.996296	0.925585	0.962139
strex_kraken1_25000_SP.res	2755103	10436	321711	37750	0	3125000	0.881633	0.996226	0.935433	0.963574
strex_kraken1_25000_ST.res	2650687	30322	404220	39771	0	3125000	0.848220	0.988690	0.913084	0.983153
strex_kraken2_250000.res	2753750	14753	317806	38691	0	3125000	0.881200	0.994671	0.934504	0.968356
strex_kraken2_25000_SP.res	2831470	15405	239348	38777	0	3125000	0.906070	0.994589	0.948268	0.970404
strex_kraken2_25000_ST.res	2787984	34310	262050	40656	0	3125000	0.892155	0.987843	0.937564	0.984691
