Classifier	tp	fp	fn	ok	no	(tp+fp+fn+ok+no)	sens	prec	f1	pearson
strex_centrifuge_250000.res	2729742	18004	345022	32232	0	3125000	0.873517	0.993448	0.929631	0.966820
strex_centrifuge_25000_SP.res	2805934	22554	264117	32395	0	3125000	0.897899	0.992026	0.942619	0.968638
strex_centrifuge_25000_SPZ.res	2963790	90593	37338	33279	0	3125000	0.948413	0.970340	0.959251	0.987493
strex_centrifuge_25000_ST.res	2495610	273843	327052	28495	0	3125000	0.798595	0.901120	0.846766	0.948128
strex_centrifuge_25000_STZ.res	2710702	346738	37338	30222	0	3125000	0.867425	0.886592	0.876904	0.970974
strex_clark_genus_250000.res	2628976	9530	486494	0	0	3125000	0.841272	0.996388	0.912284	0.960236
strex_clark_genus_25000_SP.res	2737094	14234	373672	0	0	3125000	0.875870	0.994826	0.931566	0.965080
strex_clark_genus_25000_SPZ.res	2978857	80639	65504	0	0	3125000	0.953234	0.973643	0.963331	0.998181
strex_clark_genus_25000_ST.res	2429061	270484	425455	0	0	3125000	0.777300	0.899804	0.834078	0.956120
strex_clark_genus_25000_STZ.res	2720152	339344	65504	0	0	3125000	0.870449	0.889085	0.879668	0.971915
strex_clark_species_250000.res	2311930	12115	800955	0	0	3125000	0.739818	0.994787	0.848563	0.927148
strex_clark_species_25000_SP.res	2425249	37648	662103	0	0	3125000	0.776080	0.984714	0.868036	0.932571
strex_clark_species_25000_SPZ.res	2768786	171572	184642	0	0	3125000	0.886012	0.941649	0.912984	0.979391
strex_clark_species_25000_ST.res	2066723	267980	790297	0	0	3125000	0.661351	0.885219	0.757083	0.912248
strex_clark_species_25000_STZ.res	2534781	405577	184642	0	0	3125000	0.811130	0.862065	0.835822	0.963793
strex_kraken1_250000.res	2700772	10042	376502	37684	0	3125000	0.864247	0.996296	0.925585	0.962139
strex_kraken1_25000_SP.res	2766071	11465	309657	37807	0	3125000	0.885143	0.995872	0.937248	0.963689
strex_kraken1_25000_SPZ.res	3021431	14353	50803	38413	0	3125000	0.966858	0.995272	0.980859	0.996229
strex_kraken1_25000_ST.res	2413360	270878	398765	41997	0	3125000	0.772275	0.899086	0.830870	0.943950
strex_kraken1_25000_STZ.res	2755688	275070	50803	43439	0	3125000	0.881820	0.909241	0.895320	0.968949
strex_kraken2_250000.res	2753750	14753	317806	38691	0	3125000	0.881200	0.994671	0.934504	0.968356
strex_kraken2_25000_SP.res	2841051	16272	228818	38859	0	3125000	0.909136	0.994305	0.949815	0.970473
strex_kraken2_25000_SPZ.res	3026019	21906	37647	39428	0	3125000	0.968326	0.992813	0.980417	0.996465
strex_kraken2_25000_ST.res	2550998	272661	257953	43388	0	3125000	0.816319	0.903437	0.857672	0.966894
strex_kraken2_25000_STZ.res	2762260	280371	37647	44722	0	3125000	0.883923	0.907852	0.895728	0.969133
