Classifier	tp	fp	fn	ok	no	(tp+fp+fn+ok+no)	sens	prec	f1	pearson
all_250000_2.fq_MP.V1.res	2803561	20395	263261	37783	0	3125000	0.897140	0.992778	0.942539	0.966446
all_250000_2.fq_MP.V2.res	2836133	20379	230715	37773	0	3125000	0.907563	0.992866	0.948300	0.968909
all_250000_2.fq_MPZ.V1.res	2969100	87220	30152	38528	0	3125000	0.950112	0.971462	0.960669	0.986687
all_250000_2.fq_MPZ.V2.res	3035139	32316	18755	38790	0	3125000	0.971244	0.989465	0.980270	0.996865
all_250000_2.fq_MT.V1.res	2022327	746577	322025	34071	0	3125000	0.647145	0.730371	0.686244	0.913866
all_250000_2.fq_MT.V2.res	2089503	746969	256525	32003	0	3125000	0.668641	0.736656	0.701002	0.916179
all_250000_2.fq_MTZ.V1.res	2244377	815703	30152	34768	0	3125000	0.718201	0.733437	0.725739	0.920226
all_250000_2.fq_MTZ.V2.res	2312354	760559	18755	33332	0	3125000	0.739953	0.752496	0.746172	0.922216
strex_centrifuge_250000.res	2729742	18004	345022	32232	0	3125000	0.873517	0.993448	0.929631	0.966820
strex_centrifuge_25000_SP.res	2809733	30406	252531	32330	0	3125000	0.899115	0.989294	0.942051	0.968659
strex_centrifuge_25000_SPZ.res	2969555	99179	23233	33033	0	3125000	0.950258	0.967681	0.958890	0.987683
strex_centrifuge_25000_ST.res	2033296	749117	317695	24892	0	3125000	0.650655	0.730767	0.688388	0.926860
strex_centrifuge_25000_STZ.res	2252904	822736	23233	26127	0	3125000	0.720929	0.732499	0.726668	0.932213
strex_clark_genus_250000.res	2628976	9530	486494	0	0	3125000	0.841272	0.996388	0.912284	0.960236
strex_clark_genus_25000_SP.res	2743186	28971	352843	0	0	3125000	0.877820	0.989549	0.930342	0.965180
strex_clark_genus_25000_SPZ.res	2988588	96774	39638	0	0	3125000	0.956348	0.968634	0.962452	0.998729
strex_clark_genus_25000_ST.res	1971334	747141	406525	0	0	3125000	0.630827	0.725162	0.674713	0.912978
strex_clark_genus_25000_STZ.res	2267943	817419	39638	0	0	3125000	0.725742	0.735065	0.730374	0.924873
strex_clark_species_250000.res	2311930	12115	800955	0	0	3125000	0.739818	0.994787	0.848563	0.927148
strex_clark_species_25000_SP.res	2430376	69062	625562	0	0	3125000	0.777720	0.972369	0.864220	0.933248
strex_clark_species_25000_SPZ.res	2883374	140628	100998	0	0	3125000	0.922680	0.953496	0.937835	0.995330
strex_clark_species_25000_ST.res	1612908	745457	766635	0	0	3125000	0.516131	0.683909	0.588291	0.883554
strex_clark_species_25000_STZ.res	2140503	883499	100998	0	0	3125000	0.684961	0.707838	0.696212	0.931967
strex_kraken1_250000.res	2700772	10042	376502	37684	0	3125000	0.864247	0.996296	0.925585	0.962139
strex_kraken1_25000_SP.res	2771604	19009	296608	37779	0	3125000	0.886913	0.993188	0.937047	0.963873
strex_kraken1_25000_SPZ.res	3029640	23179	33842	38339	0	3125000	0.969485	0.992407	0.980812	0.996646
strex_kraken1_25000_ST.res	1955500	746857	388912	33731	0	3125000	0.625760	0.723628	0.671145	0.911457
strex_kraken1_25000_STZ.res	2304128	752638	33842	34392	0	3125000	0.737321	0.753780	0.745459	0.921667
strex_kraken2_250000.res	2753750	14753	317806	38691	0	3125000	0.881200	0.994671	0.934504	0.968356
strex_kraken2_25000_SP.res	2844811	24102	217279	38808	0	3125000	0.910340	0.991599	0.949233	0.970593
strex_kraken2_25000_SPZ.res	3030485	30916	24245	39354	0	3125000	0.969755	0.989901	0.979725	0.996681
strex_kraken2_25000_ST.res	2094296	747963	247262	35479	0	3125000	0.670175	0.736842	0.701929	0.915827
strex_kraken2_25000_STZ.res	2307419	757174	24245	36162	0	3125000	0.738374	0.752928	0.745580	0.921425
