Classifier	tp	fp	fn	ok	no	(tp+fp+fn+ok+no)	sens	prec	f1	pearson
strex_centrifuge_250000.res	2729742	18004	345022	32232	0	3125000	0.873517	0.993448	0.929631	0.966820
strex_centrifuge_25000_SP.res	2809779	26637	256199	32385	0	3125000	0.899129	0.990609	0.942655	0.968598
strex_centrifuge_25000_SPZ.res	2969050	94462	28369	33119	0	3125000	0.950096	0.969165	0.959536	0.987572
strex_centrifuge_25000_ST.res	2201697	576554	320273	26476	0	3125000	0.704543	0.792476	0.745927	0.928855
strex_centrifuge_25000_STZ.res	2419203	649666	28369	27762	0	3125000	0.774145	0.788304	0.781161	0.933548
strex_clark_genus_250000.res	2628976	9530	486494	0	0	3125000	0.841272	0.996388	0.912284	0.960236
strex_clark_genus_25000_SP.res	2741761	22402	360837	0	0	3125000	0.877364	0.991896	0.931121	0.965039
strex_clark_genus_25000_SPZ.res	2986958	89492	48550	0	0	3125000	0.955827	0.970911	0.963310	0.998547
strex_clark_genus_25000_ST.res	2136966	574110	413924	0	0	3125000	0.683829	0.788235	0.732330	0.925874
strex_clark_genus_25000_STZ.res	2432717	643733	48550	0	0	3125000	0.778469	0.790755	0.784564	0.935698
strex_clark_species_250000.res	2311930	12115	800955	0	0	3125000	0.739818	0.994787	0.848563	0.927148
strex_clark_species_25000_SP.res	2429638	58024	637338	0	0	3125000	0.777484	0.976675	0.865770	0.933035
strex_clark_species_25000_SPZ.res	2864286	129340	131374	0	0	3125000	0.916572	0.956795	0.936251	0.993542
strex_clark_species_25000_ST.res	1780171	572842	771987	0	0	3125000	0.569655	0.756550	0.649933	0.890336
strex_clark_species_25000_STZ.res	2346069	647557	131374	0	0	3125000	0.750742	0.783688	0.766861	0.932728
strex_kraken1_250000.res	2700772	10042	376502	37684	0	3125000	0.864247	0.996296	0.925585	0.962139
strex_kraken1_25000_SP.res	2771797	15027	300342	37834	0	3125000	0.886975	0.994608	0.937713	0.963786
strex_kraken1_25000_SPZ.res	3028352	18718	39714	38216	0	3125000	0.969073	0.993857	0.981308	0.996497
strex_kraken1_25000_ST.res	2125986	574127	390379	34508	0	3125000	0.680316	0.787369	0.729938	0.924985
strex_kraken1_25000_STZ.res	2470808	579428	39714	35050	0	3125000	0.790659	0.810038	0.800231	0.933074
strex_kraken2_250000.res	2753750	14753	317806	38691	0	3125000	0.881200	0.994671	0.934504	0.968356
strex_kraken2_25000_SP.res	2845569	19554	220995	38882	0	3125000	0.910582	0.993175	0.950087	0.970533
strex_kraken2_25000_SPZ.res	3031274	25777	28707	39242	0	3125000	0.970008	0.991568	0.980669	0.996599
strex_kraken2_25000_ST.res	2263402	575240	250389	35969	0	3125000	0.724289	0.797354	0.759067	0.928672
strex_kraken2_25000_STZ.res	2476153	583639	28707	36501	0	3125000	0.792369	0.809255	0.800723	0.933046
