Classifier	tp	fp	fn	ok	no	(tp+fp+fn+ok+no)	sens	prec	f1	pearson
strex_centrifuge_250000.res	2174170	233414	345022	372394	0	3125000	0.695734	0.903051	0.785951	0.897337
strex_centrifuge_25000_SP.res	2225616	247642	278156	373586	0	3125000	0.712197	0.899872	0.795110	0.901149
strex_centrifuge_25000_SPZ.res	2374159	316776	59438	374627	0	3125000	0.759731	0.882280	0.816432	0.921702
strex_centrifuge_25000_ST.res	2180930	190639	354239	399192	0	3125000	0.697898	0.919615	0.793560	0.947266
strex_centrifuge_25000_STZ.res	2380704	283555	59438	401303	0	3125000	0.761825	0.893571	0.822456	0.951568
strex_clark_genus_250000.res	0	9530	486494	2628976	0	3125000	0.000000	0.000000	0.000000	-nan
strex_clark_genus_25000_SP.res	0	10813	393123	2721064	0	3125000	0.000000	0.000000	0.000000	-nan
strex_clark_genus_25000_SPZ.res	0	77299	97389	2950312	0	3125000	0.000000	0.000000	0.000000	-nan
strex_clark_genus_25000_ST.res	0	11043	458647	2655310	0	3125000	0.000000	0.000000	0.000000	-nan
strex_clark_genus_25000_STZ.res	0	96498	97389	2931113	0	3125000	0.000000	0.000000	0.000000	-nan
strex_clark_species_250000.res	2117987	206058	800955	0	0	3125000	0.677756	0.911336	0.777379	0.887492
strex_clark_species_25000_SP.res	2186784	231570	706646	0	0	3125000	0.699771	0.904245	0.788975	0.892514
strex_clark_species_25000_SPZ.res	2354075	498924	272001	0	0	3125000	0.753304	0.825123	0.787580	0.916179
strex_clark_species_25000_ST.res	2096751	194749	833500	0	0	3125000	0.670960	0.915012	0.774209	0.938043
strex_clark_species_25000_STZ.res	2358859	494140	272001	0	0	3125000	0.754835	0.826800	0.789180	0.953784
strex_kraken1_250000.res	2148207	229175	376502	371116	0	3125000	0.687426	0.903602	0.780828	0.887158
strex_kraken1_25000_SP.res	2185651	244796	321717	372836	0	3125000	0.699408	0.899279	0.786850	0.888435
strex_kraken1_25000_SPZ.res	2429106	249151	73145	373598	0	3125000	0.777314	0.906973	0.837153	0.925620
strex_kraken1_25000_ST.res	2098737	216628	404135	405500	0	3125000	0.671596	0.906439	0.771543	0.927645
strex_kraken1_25000_STZ.res	2420969	224270	73145	406616	0	3125000	0.774710	0.915217	0.839123	0.935689
strex_kraken2_250000.res	2179721	252079	317806	375394	0	3125000	0.697511	0.896341	0.784524	0.894337
strex_kraken2_25000_SP.res	2244575	264574	239379	376472	0	3125000	0.718264	0.894556	0.796775	0.897956
strex_kraken2_25000_SPZ.res	2360300	330210	57230	377260	0	3125000	0.755296	0.877269	0.811726	0.915509
strex_kraken2_25000_ST.res	2224760	233833	262000	404407	0	3125000	0.711923	0.904892	0.796892	0.920666
strex_kraken2_25000_STZ.res	2357216	305436	57230	405118	0	3125000	0.754309	0.885289	0.814567	0.934116
