Classifier	tp	fp	fn	ok	no	(tp+fp+fn+ok+no)	sens	prec	f1	pearson
strex_centrifuge_250000.res	2174170	233414	345022	372394	0	3125000	0.695734	0.903051	0.785951	0.897337
strex_centrifuge_25000_SP.res	2225615	247644	278157	373584	0	3125000	0.712197	0.899871	0.795110	0.901142
strex_centrifuge_25000_ST.res	2180808	190701	354323	399168	0	3125000	0.697859	0.919587	0.793525	0.947290
strex_clark_genus_250000.res	0	9530	486494	2628976	0	3125000	0.000000	0.000000	0.000000	-nan
strex_clark_genus_25000_SP.res	0	10795	393196	2721009	0	3125000	0.000000	0.000000	0.000000	-nan
strex_clark_genus_25000_ST.res	0	11113	458772	2655115	0	3125000	0.000000	0.000000	0.000000	-nan
strex_clark_species_250000.res	2117987	206058	800955	0	0	3125000	0.677756	0.911336	0.777379	0.887492
strex_clark_species_25000_SP.res	2186802	231692	706506	0	0	3125000	0.699777	0.904200	0.788962	0.892534
strex_clark_species_25000_ST.res	2097122	195299	832579	0	0	3125000	0.671079	0.914807	0.774214	0.938078
strex_kraken1_250000.res	2148207	229175	376502	371116	0	3125000	0.687426	0.903602	0.780828	0.887158
strex_kraken1_25000_SP.res	2185683	244778	321711	372828	0	3125000	0.699419	0.899287	0.786859	0.888440
strex_kraken1_25000_ST.res	2098655	216911	404220	405214	0	3125000	0.671570	0.906325	0.771484	0.927672
strex_kraken2_250000.res	2179721	252079	317806	375394	0	3125000	0.697511	0.896341	0.784524	0.894337
strex_kraken2_25000_SP.res	2244541	264636	239348	376475	0	3125000	0.718253	0.894533	0.796759	0.897949
strex_kraken2_25000_ST.res	2224824	234381	262050	403745	0	3125000	0.711944	0.904692	0.796827	0.920743
