Classifier	tp	fp	fn	ok	no	(tp+fp+fn+ok+no)	sens	prec	f1	pearson
all_250000_2.fq_MP.V1.res	2228448	258742	263261	374549	0	3125000	0.713103	0.895970	0.794146	0.894005
all_250000_2.fq_MP.V2.res	2260794	258929	230715	374562	0	3125000	0.723454	0.897239	0.801029	0.896484
all_250000_2.fq_MPZ.V1.res	2387287	331549	30152	376012	0	3125000	0.763932	0.878055	0.817027	0.916257
all_250000_2.fq_MPZ.V2.res	2389056	340634	18755	376555	0	3125000	0.764498	0.875211	0.816117	0.916522
all_250000_2.fq_MT.V1.res	1496124	913473	322025	393378	0	3125000	0.478760	0.620902	0.540644	0.841832
all_250000_2.fq_MT.V2.res	1574933	908141	256525	385401	0	3125000	0.503979	0.634267	0.561666	0.850532
all_250000_2.fq_MTZ.V1.res	1707538	992349	30152	394961	0	3125000	0.546412	0.632448	0.586291	0.854097
all_250000_2.fq_MTZ.V2.res	1722667	995537	18755	388041	0	3125000	0.551253	0.633752	0.589631	0.859064
strex_centrifuge_250000.res	2174170	233414	345022	372394	0	3125000	0.695734	0.903051	0.785951	0.897337
strex_centrifuge_25000_SP.res	2237848	260496	252531	374125	0	3125000	0.716111	0.895733	0.795914	0.901045
strex_centrifuge_25000_SPZ.res	2391208	334910	23233	375649	0	3125000	0.765187	0.877148	0.817351	0.921944
strex_centrifuge_25000_ST.res	1516378	898885	317695	392042	0	3125000	0.485241	0.627831	0.547403	0.859906
strex_centrifuge_25000_STZ.res	1725452	982125	23233	394190	0	3125000	0.552145	0.637268	0.591660	0.870674
strex_clark_genus_250000.res	0	9530	486494	2628976	0	3125000	0.000000	0.000000	0.000000	-nan
strex_clark_genus_25000_SP.res	0	28971	352843	2743186	0	3125000	0.000000	0.000000	0.000000	-nan
strex_clark_genus_25000_SPZ.res	0	96774	39638	2988588	0	3125000	0.000000	0.000000	0.000000	-nan
strex_clark_genus_25000_ST.res	0	747141	406525	1971334	0	3125000	0.000000	0.000000	0.000000	-nan
strex_clark_genus_25000_STZ.res	0	817419	39638	2267943	0	3125000	0.000000	0.000000	0.000000	-nan
strex_clark_species_250000.res	2117987	206058	800955	0	0	3125000	0.677756	0.911336	0.777379	0.887492
strex_clark_species_25000_SP.res	2203583	295855	625562	0	0	3125000	0.705147	0.881631	0.783574	0.893471
strex_clark_species_25000_SPZ.res	2440984	583018	100998	0	0	3125000	0.781115	0.807203	0.793945	0.929646
strex_clark_species_25000_ST.res	1441670	916695	766635	0	0	3125000	0.461334	0.611301	0.525834	0.848965
strex_clark_species_25000_STZ.res	1790246	1233756	100998	0	0	3125000	0.572879	0.592012	0.582288	0.897077
strex_kraken1_250000.res	2148207	229175	376502	371116	0	3125000	0.687426	0.903602	0.780828	0.887158
strex_kraken1_25000_SP.res	2200544	254824	296608	373024	0	3125000	0.704174	0.896218	0.788673	0.888578
strex_kraken1_25000_SPZ.res	2451427	265331	33842	374400	0	3125000	0.784457	0.902335	0.839277	0.926560
strex_kraken1_25000_ST.res	1431344	915171	388912	389573	0	3125000	0.458030	0.609987	0.523198	0.837179
strex_kraken1_25000_STZ.res	1767751	931766	33842	391641	0	3125000	0.565680	0.654840	0.607003	0.856613
strex_kraken2_250000.res	2179721	252079	317806	375394	0	3125000	0.697511	0.896341	0.784524	0.894337
strex_kraken2_25000_SP.res	2256549	274548	217279	376624	0	3125000	0.722096	0.891530	0.797917	0.898030
strex_kraken2_25000_SPZ.res	2376697	346404	24245	377654	0	3125000	0.760543	0.872791	0.812810	0.915958
strex_kraken2_25000_ST.res	1560964	929043	247262	387731	0	3125000	0.499508	0.626891	0.555997	0.844393
strex_kraken2_25000_STZ.res	1703022	1008693	24245	389040	0	3125000	0.544967	0.628024	0.583555	0.852453
