Classifier	tp	fp	fn	ok	no	(tp+fp+fn+ok+no)	sens	prec	f1	pearson
strex_centrifuge_250000.res	2174170	233414	345022	372394	0	3125000	0.695734	0.903051	0.785951	0.897337
strex_centrifuge_25000_SP.res	2238425	256492	256199	373884	0	3125000	0.716296	0.897194	0.796604	0.901010
strex_centrifuge_25000_SPZ.res	2391530	329592	28369	375509	0	3125000	0.765290	0.878876	0.818159	0.921782
strex_centrifuge_25000_ST.res	1685058	729369	320273	390300	0	3125000	0.539219	0.697912	0.608387	0.869165
strex_centrifuge_25000_STZ.res	1892496	811476	28369	392659	0	3125000	0.605599	0.699895	0.649341	0.878099
strex_clark_genus_250000.res	0	9530	486494	2628976	0	3125000	0.000000	0.000000	0.000000	-nan
strex_clark_genus_25000_SP.res	0	22402	360837	2741761	0	3125000	0.000000	0.000000	0.000000	-nan
strex_clark_genus_25000_SPZ.res	0	89492	48550	2986958	0	3125000	0.000000	0.000000	0.000000	-nan
strex_clark_genus_25000_ST.res	0	574110	413924	2136966	0	3125000	0.000000	0.000000	0.000000	-nan
strex_clark_genus_25000_STZ.res	0	643733	48550	2432717	0	3125000	0.000000	0.000000	0.000000	-nan
strex_clark_species_250000.res	2117987	206058	800955	0	0	3125000	0.677756	0.911336	0.777379	0.887492
strex_clark_species_25000_SP.res	2204536	283126	637338	0	0	3125000	0.705452	0.886188	0.785558	0.893319
strex_clark_species_25000_SPZ.res	2490146	503480	131374	0	0	3125000	0.796847	0.831816	0.813956	0.938638
strex_clark_species_25000_ST.res	1607645	745368	771987	0	0	3125000	0.514446	0.683228	0.586945	0.858620
strex_clark_species_25000_STZ.res	1999949	993677	131374	0	0	3125000	0.639984	0.668069	0.653725	0.900587
strex_kraken1_250000.res	2148207	229175	376502	371116	0	3125000	0.687426	0.903602	0.780828	0.887158
strex_kraken1_25000_SP.res	2200893	250660	300342	373105	0	3125000	0.704286	0.897755	0.789338	0.888415
strex_kraken1_25000_SPZ.res	2451097	259981	39714	374208	0	3125000	0.784351	0.904104	0.839981	0.926315
strex_kraken1_25000_ST.res	1600006	746089	390379	388526	0	3125000	0.512002	0.681987	0.584894	0.857873
strex_kraken1_25000_STZ.res	1934921	759949	39714	390416	0	3125000	0.619175	0.718002	0.664936	0.873896
strex_kraken2_250000.res	2179721	252079	317806	375394	0	3125000	0.697511	0.896341	0.784524	0.894337
strex_kraken2_25000_SP.res	2257543	269755	220995	376707	0	3125000	0.722414	0.893263	0.798805	0.897894
strex_kraken2_25000_SPZ.res	2377932	340850	28707	377511	0	3125000	0.760938	0.874631	0.813833	0.915778
strex_kraken2_25000_ST.res	1729804	758959	250389	385848	0	3125000	0.553537	0.695046	0.616273	0.864267
strex_kraken2_25000_STZ.res	1871414	837694	28707	387185	0	3125000	0.598852	0.690786	0.641542	0.870654
