Classifier	tp	fp	fn	ok	no	(tp+fp+fn+ok+no)	sens	prec	f1	pearson
strex_centrifuge_250000.res	2729742	18004	345022	32232	0	3125000	0.873517	0.993448	0.929631	0.966820
strex_centrifuge_25000_SP.res	2796304	20244	276106	32346	0	3125000	0.894817	0.992812	0.941271	0.968544
strex_centrifuge_25000_SPZ.res	2948999	85844	57448	32709	0	3125000	0.943680	0.971714	0.957492	0.987235
strex_centrifuge_25000_ST.res	2720044	41129	334300	29527	0	3125000	0.870414	0.985105	0.924215	0.996096
strex_centrifuge_25000_STZ.res	2925268	112063	57448	30221	0	3125000	0.936086	0.963105	0.949403	0.996800
strex_clark_genus_250000.res	2628976	9530	486494	0	0	3125000	0.841272	0.996388	0.912284	0.960236
strex_clark_genus_25000_SP.res	2722047	13122	389831	0	0	3125000	0.871055	0.995202	0.928999	0.964612
strex_clark_genus_25000_SPZ.res	2953009	78239	93752	0	0	3125000	0.944963	0.974189	0.959353	0.997145
strex_clark_genus_25000_ST.res	2651002	36135	437863	0	0	3125000	0.848321	0.986553	0.912230	0.994805
strex_clark_genus_25000_STZ.res	2927577	103671	93752	0	0	3125000	0.936825	0.965799	0.951091	0.997126
strex_clark_species_250000.res	2311930	12115	800955	0	0	3125000	0.739818	0.994787	0.848563	0.927148
strex_clark_species_25000_SP.res	2407737	13980	703283	0	0	3125000	0.770476	0.994227	0.868167	0.932195
strex_clark_species_25000_SPZ.res	2773568	89345	262087	0	0	3125000	0.887542	0.968792	0.926389	0.982583
strex_clark_species_25000_ST.res	2269881	13536	841583	0	0	3125000	0.726362	0.994072	0.839388	0.965616
strex_clark_species_25000_STZ.res	2755831	107082	262087	0	0	3125000	0.881866	0.962597	0.920465	0.982698
strex_kraken1_250000.res	2700772	10042	376502	37684	0	3125000	0.864247	0.996296	0.925585	0.962139
strex_kraken1_25000_SP.res	2755632	10501	321102	37765	0	3125000	0.881802	0.996204	0.935519	0.963588
strex_kraken1_25000_SPZ.res	3003699	12122	71274	37905	0	3125000	0.961184	0.995981	0.978273	0.995904
strex_kraken1_25000_ST.res	2644096	36723	404212	39969	0	3125000	0.846111	0.986302	0.910843	0.993892
strex_kraken1_25000_STZ.res	2973763	39657	71274	40306	0	3125000	0.951604	0.986840	0.968902	0.995148
strex_kraken2_250000.res	2753750	14753	317806	38691	0	3125000	0.881200	0.994671	0.934504	0.968356
strex_kraken2_25000_SP.res	2831784	15413	239013	38790	0	3125000	0.906171	0.994587	0.948322	0.970406
strex_kraken2_25000_SPZ.res	3011491	18768	55694	39047	0	3125000	0.963677	0.993806	0.978510	0.996320
strex_kraken2_25000_ST.res	2781791	39660	262429	41120	0	3125000	0.890173	0.985943	0.935614	0.994952
strex_kraken2_25000_STZ.res	2982622	45079	55694	41605	0	3125000	0.954439	0.985111	0.969533	0.995520
