Classifier	tp	fp	fn	ok	no	(tp+fp+fn+ok+no)	sens	prec	f1	pearson
strex_centrifuge_250000.res	2174170	233414	345022	372394	0	3125000	0.695734	0.903051	0.785951	0.897337
strex_centrifuge_25000_SP.res	2228197	247907	275167	373729	0	3125000	0.713023	0.899880	0.795628	0.901331
strex_centrifuge_25000_SPZ.res	2326059	408649	14858	375434	0	3125000	0.744339	0.850569	0.793916	0.914041
strex_centrifuge_25000_ST.res	1038988	163607	1561735	360670	0	3125000	0.332476	0.863955	0.480169	0.797244
strex_centrifuge_25000_STZ.res	1247136	1499666	14858	363340	0	3125000	0.399084	0.454032	0.424788	0.815338
strex_clark_genus_250000.res	0	9530	486494	2628976	0	3125000	0.000000	0.000000	0.000000	-nan
strex_clark_genus_25000_SP.res	0	16218	380243	2728539	0	3125000	0.000000	0.000000	0.000000	-nan
strex_clark_genus_25000_SPZ.res	0	188309	26416	2910275	0	3125000	0.000000	0.000000	0.000000	-nan
strex_clark_genus_25000_ST.res	0	43779	1637397	1443824	0	3125000	0.000000	0.000000	0.000000	-nan
strex_clark_genus_25000_STZ.res	0	1366873	26416	1731711	0	3125000	0.000000	0.000000	0.000000	-nan
strex_clark_species_250000.res	2117987	206058	800955	0	0	3125000	0.677756	0.911336	0.777379	0.887492
strex_clark_species_25000_SP.res	2181415	243095	700490	0	0	3125000	0.698053	0.899734	0.786165	0.892612
strex_clark_species_25000_SPZ.res	2425101	644836	55063	0	0	3125000	0.776032	0.789951	0.782930	0.930772
strex_clark_species_25000_ST.res	966936	169455	1988609	0	0	3125000	0.309420	0.850883	0.453812	0.785888
strex_clark_species_25000_STZ.res	1380431	1689506	55063	0	0	3125000	0.441738	0.449661	0.445664	0.855889
strex_kraken1_250000.res	2148207	229175	376502	371116	0	3125000	0.687426	0.903602	0.780828	0.887158
strex_kraken1_25000_SP.res	2190375	245559	316132	372934	0	3125000	0.700920	0.899193	0.787772	0.888805
strex_kraken1_25000_SPZ.res	2384134	342495	24034	374337	0	3125000	0.762923	0.874389	0.814862	0.917854
strex_kraken1_25000_ST.res	958301	176773	1633374	356552	0	3125000	0.306656	0.844263	0.449899	0.782940
strex_kraken1_25000_STZ.res	1295290	1447255	24034	358421	0	3125000	0.414493	0.472295	0.441510	0.812802
strex_kraken2_250000.res	2179721	252079	317806	375394	0	3125000	0.697511	0.896341	0.784524	0.894337
strex_kraken2_25000_SP.res	2246928	265117	236490	376465	0	3125000	0.719017	0.894462	0.797201	0.898213
strex_kraken2_25000_SPZ.res	2312752	418672	15830	377746	0	3125000	0.740081	0.846720	0.789817	0.908345
strex_kraken2_25000_ST.res	1090119	191650	1492239	350992	0	3125000	0.348838	0.850480	0.494748	0.794284
strex_kraken2_25000_STZ.res	1232317	1524057	15830	352796	0	3125000	0.394341	0.447079	0.419058	0.807705
